 "players_name" , "team_name" ,
 "Angharad James" , "Bristol Academy" ,
 "Bülent Cevahir" , "Balıkesirspor Kulübü" ,
 "Murat Gürbüzerol" , "Boluspor" ,
 "Vítor Hugo Gomes da Silva" , "Balıkesirspor Kulübü" ,
 "Leonardo Augusto Vieira Moreira" , "Blaublitz Akita" ,
 "Leonardo Augusto Vieira Moreira" , ブラウブリッツ秋田 ,
 "Takashi Fujii" , "Blaublitz Akita" ,
 "Takashi Fujii" , ブラウブリッツ秋田 ,
 "Mohamad Najip bin Tarif" , "DPMM FC" ,
 "Marc Kibong Mbamba" , "Boluspor" ,
 "Mohammed Salam Rahama Aamir" , "Al-Kharaitiyat SC" ,
 "Shingo Kumabayashi" , "Blaublitz Akita" ,
 "Shingo Kumabayashi" , ブラウブリッツ秋田 ,
 "Abdülhamit Yıldız" , "Balıkesirspor Kulübü" ,
 "Diego Martín Rolle" , "Asteras Tripolis" ,
 "Samuel Mitchinson" , "Bayswater City" ,
 "Fisher Kenani Kondowe" , "Big Bullets FC" ,
 "Giorgos Zisopoulos" , "Asteras Tripolis" ,
 "Jerónimo Barrales" , "Asteras Tripolis" ,
 "Nanna Christiansen" , "Brøndby IF" ,
 "Ömer Alp Kulga" , "Boluspor" ,
 "Gökay Iravul" , "Alanyaspor" ,
 "Nguyễn Xuân Thành" , "Becamex Bình Dương" ,
 "Alaa Abdul-Zahra Khashen Al-Azzawi" , "Al Shorta" ,
 "Mahdi Karim Ajeel" , "Al Shorta" ,
 "Martín Andrés Romagnoli" , "Atlante" ,
 "Eric Asamoah-Frimpong Karikari" , "Bayelsa United" ,
 "Ederson Tormena" , "Asteras Tripolis" ,
 "Ahmad Ayad Anwar" , "Al Shorta" ,
 "Facundo Manuel Carlos Parra" , "Asteras Tripolis" ,
 "Hassan Abdel-Fattah Mahmoud" , "Al-Kharaitiyat SC" ,
 "Chigozie Christopher" , "Bayelsa United" ,
 "Majed Mustafa Abu Sidu" , "Al-Yarmouk" ,
 "Salomon Junior" , "Bayelsa United" ,
 "Martín Luis Galván Romo" , "Atlante" ,
 "Cristina Vega Leandro" , "Bristol Academy" ,
 "Walter Matías Iglesias" , "Asteras Tripolis" ,
 "Mohammad Helmi bin Zambin" , "DPMM FC" ,
 "Vassilis Skourtis-Shkurtaj" , "Asteras Tripolis" ,
 "Nurettin Kayaoğlu" , "Boluspor" ,
 "Sharla Louise Passariello" , "Bristol Academy" ,
 "Konstantinos Rougalas" , "Atlético Madrid B" ,
 "Ahmet Şahbaz" , "Alanyaspor" ,
 "Efraín Dimayuga Lorenzo" , "Atlante" ,
 "Julian Malo" , "KS Besëlidhja Lezhë" ,
 "Pablo Mazza" , "Asteras Tripolis" ,
 "David Vranković" , "Becamex Bình Dương" ,
 "Roy Simon O'Donovan" , "DPMM FC" ,
 "Simón Vanderhoeght Santos" , "Atenas" ,
 "Fernando Nicolás Alloco Romano" , "Asteras Tripolis" ,
 "İsmail Haktan Odabaşı" , "Boluspor" ,
 "Ali Öztürk" , "Balıkesirspor Kulübü" ,
 "Ali Dere" , "Boluspor" ,
 "Atacan Öztürk" , "Alanyaspor" ,
 "Burak Çalık" , "Balıkesirspor Kulübü" ,
 "Eren Özen" , "Alanyaspor" ,
 "Kazuhiro Kawata" , "Blaublitz Akita" ,
 "Kazuhiro Kawata" , ブラウブリッツ秋田 ,
 "Eray Ataseven" , "Balıkesirspor Kulübü" ,
 "Kazuhito Esaki" , "Blaublitz Akita" ,
 "Kazuhito Esaki" , ブラウブリッツ秋田 ,
 "Tomáš Košický" , "Asteras Tripolis" ,
 "Trương Đình Luật" , "Becamex Bình Dương" ,
 "Altin Hoxha" , "KS Besëlidhja Lezhë" ,
 "Okan Alkan" , "Balıkesirspor Kulübü" ,
 "Kamel Larbi" , "Aurillac" ,
 "Azwan Bin Salleh" , "DPMM FC" ,
 "André Filipe Bernardes Santos" , "Balıkesirspor Kulübü" ,
 "Emma Rise Madsen" , "Brøndby IF" ,
 "Braian Emanuel Lluy" , "Asteras Tripolis" ,
 "Sophie Ingle" , "Bristol Academy" ,
 "Lucas François Bernard Hernández Pi" , "Atlético Madrid B" ,
 "Ali Bahjat Fadhil" , "Al Shorta" ,
 "Agogu, Ebitimi" , "Bayelsa United" ,
 "Muhammad Maududi Hilmi Kasmi" , "DPMM FC" ,
 "Elton Muçollari" , "KS Besëlidhja Lezhë" ,
 "Emre Turan" , "Berliner AK 07" ,
 "Gökhan Ünal" , "Balıkesirspor Kulübü" ,
 "Dimitrios Kourbelis" , "Asteras Tripolis" ,
 "Jonathan Ayité" , "Alanyaspor" ,
 "Achille Emaná Edzimbi" , "Atlante" ,
 "Justin Jose Portillo" , "Baton Rouge Capitals" ,
 "Akil Jakupi" , "KS Besëlidhja Lezhë" ,
 "Papa Khalifa Sankaré" , "Asteras Tripolis" ,
 "Dhurgham Ismail Dawoud Al-Quraishi" , "Al Shorta" ,
 "Hayley Elizabeth Ladd" , "Bristol Academy" ,
 "Cecilie Breil Kramer" , "Brøndby IF" ,
 "Anastasios Tsokanis" , "Asteras Tripolis" ,
 "Mohammad Shahrazen" , "DPMM FC" ,
 "bin Haji Mohammad Said" , "DPMM FC" ,
 "Mohammed Hameed Farhan" , "Al Shorta" ,
 "Toshimitsu Asai" , "Blaublitz Akita" ,
 "Toshimitsu Asai" , ブラウブリッツ秋田 ,
 "Mario Marín Soto" , "Atlético Madrid B" ,
 "Azman Ilham bin Haji Mohammad Noor" , "DPMM FC" ,
 "İlhan Depe" , "Balıkesirspor Kulübü" ,
 "Mohammed Abdurabb Al Yazeedi" , "Al-Kharaitiyat SC" ,
 "Rodrigo Antonio Lombardo Tosi" , "DPMM FC" ,
 "Ian Sheridan" , "Bala Town" ,
 "Fernando Herrera Espinoza" , "Atlante" ,
 "Jesús Mendoza Aguirre" , "Atlético Sanluqueño" ,
 "Salam Shaker Ali Dad" , "Al Shorta" ,
 "Ahmad Abdullah Kamshad Al Beloushi" , "Al-Yarmouk" ,
 "Juan Manuel Munafo Horta" , "Asteras Tripolis" ,
 "Adi bin Haji Mohammad Said" , "DPMM FC" ,
